City	Country	Nickname, comma seperated EDIT HERE, free form list	Nickname, default	Nickname, metro (div)	Someone from here is called	Plural form (demonym)	Type	Scale	Megacity	State or province	Lat	Long	GeoNamesID
Chattanooga	United States of America	Dynamo of Dixie	Dynamo of Dixie				Populated place	6	0	Tennessee	35.07	-85.25	4612862
Chelyabinsk	Russia						Admin-1 capital	4	1	Chelyabinsk	55.15	61.44	1508291
Chengdu	China						Admin-1 capital	1	1	Sichuan	30.67	104.07	1815286
Chennai	India	Automobile capital of India, Detroit of South Asia			Chennaite		Admin-1 capital	1	1	Tamil Nadu	13.09	80.28	1264527
Cheyenne	United States of America	Magic City of the Plains, Capital City, Frontier City					Admin-1 capital	3	0	Wyoming	41.14	-104.82	5821086
Chicago	United States of America	Chitown, Windy City, Chi City, Chicagoland, City of Big Shoulders, Nature's Metropolis, The Third Coast, The City That Works, Hog Butcher for the World	Chitown	Chicagoland	Chicagoan		Populated place	1	1	Illinois	41.83	-87.75	4887398
Chico	United States of America	Almond Capital of the World, Cheeko					Populated place	6	0	California	39.73	-121.84	5336269
Chifeng	China						Populated place	4	1	Nei Mongol	42.27	118.95	2038067
Chignik	United States of America						Populated place	7	0	Alaska	56.3	-158.4	-1
Chihuahua	Mexico				chihuahuense		Admin-1 capital	3	1	Chihuahua	28.64	-106.08	4014338
Childress	United States of America						Populated place	8	0	Texas	34.42	-100.21	5518758
Chisinau	Moldova						Admin-0 capital	3	0	Chisinau	47.01	28.86	618426
Chita	Russia						Admin-1 capital	3	0	Chita	52.06	113.47	2025339
Chittagong	Bangladesh	Chitters	Chitters				Admin-1 capital	1	1	Chittagong	22.33	91.8	1205733
Chongqing	China						Populated place	1	1	Chongqing	29.56	106.59	1814906
Christchurch	New Zealand	The Garden City, The Garden City of the Plains, The Most English City outside England					Admin-1 capital	3	0	Canterbury	-43.54	172.63	2192362
Churchill	Canada						Populated place	3	0	Manitoba	58.77	-94.17	5922111
Cincinnati	United States of America	The Queen City, Cincy, The Tri-State, Cincy, Cinci, Porkopolis					Populated place	3	1	Ohio	39.16	-84.46	4508722
Circle	United States of America						Populated place	7	0	Alaska	65.83	-144.06	-1
Ciudad Guayana	Venezuela						Populated place	3	0	Bolívar	8.37	-62.62	3645528
Ciudad Juárez	Mexico	La Mejor Frontera de México, The Best Border City in Mexico			juarense		Populated place	6	1	Chihuahua	31.69	-106.49	4013708
Clarksburg	United States of America						Populated place	8	0	West Virginia	39.28	-80.34	4802316
Clarksville	United States of America	Clarksvegas, Queen City					Populated place	7	0	Tennessee	36.53	-87.36	4613868
Cleburne	United States of America						Populated place	8	0	Texas	32.35	-97.39	4681976
Cleveland	United States of America	Forest City, North Coast, The Mistake on the Lake, C	Forest City		Clevelander		Populated place	3	1	Ohio	41.47	-81.69	5150529
Clovis	United States of America						Populated place	7	0	New Mexico	34.41	-103.2	5462393
Cody	United States of America	Rodeo Capital of the World					Populated place	6	0	Wyoming	44.52	-109.06	5821593
Coeur d'Alene	United States of America						Populated place	7	0	Idaho	47.68	-116.78	5589173
Coffeyville	United States of America						Populated place	7	0	Kansas	37.04	-95.63	4269789
Coimbatore	India						Populated place	3	1	Tamil Nadu	11	76.95	1273865
Cold Bay	United States of America						Populated place	3	0	Alaska	55.2	-162.72	-1
Cologne	Germany	Colonia	Colonia				Populated place	6	1	Nordrhein-Westfalen	50.93	6.95	2886242
Colombo	Sri Lanka						Admin-0 capital	3	0	Colombo	6.93	79.86	3465927
Colorado Springs	United States of America	The Springs, C-Springs, C-S-C, The 719	The Springs	CSC			Populated place	4	0	Colorado	38.86	-104.79	5417598
Columbia	United States of America						Populated place	7	0	Missouri	38.95	-92.33	4381982
Columbia	United States of America	Cola Town, Soda City, Capital City, CSC	Cola Town	CSC			Admin-1 capital	4	0	South Carolina	34.04	-80.9	4575352
Columbia	United States of America						Populated place	8	0	Tennessee	35.61	-87.04	4614867
Columbus	United States of America	C-Bus	C-Bus				Populated place	7	0	Georgia	32.47	-84.98	4188985
Columbus	United States of America	The Discovery City, Arch City, Indie Art Capital, Cowtown, The Biggest Small Town In America, Buckeye City, Somaliwood, C					Admin-1 capital	6	1	Ohio	39.98	-82.99	4509177
Comodoro Rivadavia	Argentina						Populated place	3	0	Chubut	-45.87	-67.5	3860443
Conakry	Guinea						Admin-0 capital	3	1	Conakry	9.53	-13.68	2422465
Concepcion	Chile	La Capital del Sur de Chile, The capital of southern Chile					Admin-1 capital	3	0	Bío-Bío	-36.83	-73.05	3893894
Concord	United States of America						Admin-1 capital	6	0	New Hampshire	43.21	-71.54	5084868
Conroe	United States of America						Populated place	7	0	Texas	30.31	-95.46	4682991
Conway	United States of America	City of Colleges					Populated place	7	0	Arkansas	35.09	-92.45	4106458
Coos Bay	United States of America						Populated place	6	0	Oregon	43.37	-124.22	5720495
Coral Gables	United States of America						Populated place	7	0	Florida	25.72	-80.29	4151871
Coral Springs	United States of America						Populated place	8	0	Florida	26.27	-80.27	4151909
Córdoba	Argentina	La Docta	La Docta				Admin-1 capital	3	1	Córdoba	-31.4	-64.18	3860259
Cordova	United States of America						Populated place	6	0	Alaska	60.54	-145.76	5859888
Corpus Christi	United States of America	 Sparkling City by the Sea, The Real Windy City, CC	CC				Populated place	4	0	Texas	27.74	-97.4	4683416
Corvallis	United States of America						Populated place	7	0	Oregon	44.57	-123.28	5720727
Cotonou	Benin						Admin-0 capital	3	1	Ouémé	6.4	2.52	2394819
Council Bluffs	United States of America	Iowa's Leading Edge, CB		CB			Populated place	7	0	Iowa	41.26	-95.86	4852832
Covington	United States of America						Populated place	7	0	Kentucky	39.08	-84.51	4288809
Craig	United States of America						Populated place	7	0	Colorado	40.52	-107.55	5576064
Crescent City	United States of America						Populated place	7	0	California	41.76	-124.2	5562087
Crestview	United States of America						Populated place	8	0	Florida	30.75	-86.57	4152311
Crookston	United States of America						Populated place	8	0	Minnesota	47.77	-96.61	5023465
Cruzeiro do Sul	Brazil						Populated place	3	0	Acre	-7.63	-72.67	-1
Cuiaba	Brazil						Admin-1 capital	4	1	Mato Grosso	-15.57	-56.08	3465038
Culiacan	Mexico				culiacanense		Admin-1 capital	4	1	Sinaloa	24.83	-107.38	4012176
Cumberland	United States of America						Populated place	7	0	Maryland	39.65	-78.76	4352681
Curitiba	Brazil	Smile City			Curitibano, curitibense		Admin-1 capital	1	1	Paraná	-25.42	-49.32	3464975
Cusco	Peru	Ciudad Imperial, Imperial City, The navel of the world	Ciudad Imperial				Admin-1 capital	3	0	Cusco	-13.53	-71.97	3941584
Daegu	South Korea						Admin-1 capital	6	1	Taegu-gwangyoksi	35.87	128.61	1835329
Daejeon	South Korea						Admin-1 capital	4	1	Daejeon	36.34	127.43	1835235
Dakar	Senegal						Admin-0 capital	1	1	Dakar	14.72	-17.47	2253354
Dalhart	United States of America						Populated place	8	0	Texas	36.06	-102.52	5519862
Dalian	China						Populated place	4	1	Liaoning	38.92	121.63	1814087
Dallas	United States of America	Metroplex, The Big D, Triple D	Triple D	Metroplex	Dallasite		Populated place	1	1	Texas	32.82	-96.84	4684888
Dalton	United States of America						Populated place	8	0	Georgia	34.77	-84.97	4190581
Damascus	Syria	Al Sham, City of Jasmin, Pearl of the Orient	Al Sham		Damascene		Admin-0 capital	1	1	Damascus	33.5	36.3	170654
Dandong	China						Populated place	6	1	Liaoning	40.14	124.39	2037886
Danville	United States of America						Populated place	7	0	Virginia	36.59	-79.4	4755280
Daqing	China						Populated place	4	1	Heilongjiang	46.58	125	2037860
Dar es Salaam	Tanzania	Harbor of Peace, Mzizima	Harbor of Peace				Admin-0 capital	1	1	Dar-Es-Salaam	-6.8	39.27	160263
Darwin	Australia				Darwinian		Admin-1 capital	3	0	Northern Territory	-12.43	130.85	2073124
Datong	China						Populated place	6	1	Shanxi	40.08	113.3	2037799
Davao	Philippines						Populated place	3	1	Davao Del Sur	7.11	125.63	1715348
Davenport	United States of America	Quad Cities		Quad Cities			Populated place	7	0	Iowa	41.55	-90.59	4853423
Dayton	United States of America	The Gem City, Birthplace of Aviation					Populated place	6	1	Ohio	39.75	-84.2	4509884
Daytona Beach	United States of America						Populated place	6	0	Florida	29.21	-81.02	4152872
Decatur	United States of America						Populated place	7	0	Illinois	39.84	-88.95	4236895
Del Rio	United States of America						Populated place	7	0	Texas	29.36	-100.9	5520076
Delano	United States of America						Populated place	8	0	California	35.76	-119.24	5342485
Delhi	India				Delhite		Populated place	1	1	Delhi	28.67	77.23	1273294
Deming	United States of America						Populated place	8	0	New Mexico	32.26	-107.76	5464806
Denali Park	United States of America						Populated place	7	0	Alaska	63.73	-148.91	-1
Denton	United States of America						Populated place	7	0	Texas	33.22	-97.13	4685907
Denver	United States of America	The Mile High City, Menver, Cowtown, The 1.6km High City, Broncoville, Convention City, DC	Mile High City	DEN	Denverite		Admin-1 capital	1	1	Colorado	39.74	-104.98	5419384
Des Moines	United States of America	DSM, Hartford of the West	DSM	DSM			Admin-1 capital	3	0	Iowa	41.58	-93.62	4853828
Detroit	United States of America	Motown, The D, Hitsville USA, The Motor City, America's Automotive Capital, DC	Motor City		Detroiter		Populated place	1	1	Michigan	42.33	-83.08	4990729
Devils Lake	United States of America						Populated place	8	0	North Dakota	48.11	-98.86	5058868
Dhaka	Bangladesh	Dackers	Dackers				Admin-0 capital	1	1	Dhaka	23.72	90.41	1185241
Dhanbad	India						Populated place	4	1	Jharkhand	23.8	86.42	1272979
Dickinson	United States of America						Populated place	7	0	North Dakota	46.88	-102.79	5688789
Dickson	Russia						Populated place	3	0	Taymyr	73.51	80.55	1507390
Dili	East Timor						Admin-0 capital	3	0	Dili	-8.56	125.58	1645457
Dillingham	United States of America						Populated place	8	0	Alaska	59.06	-158.48	5860695
Dillon	United States of America						Populated place	8	0	Montana	45.22	-112.68	5648657
Djenne	Mali						Populated place	3	0	Mopti	13.9	-4.55	2458589
Djibouti	Djibouti						Admin-0 capital	4	0	Djibouti	11.6	43.15	223817
Dnipropetrovsk	Ukraine						Admin-1 capital	4	1	Dnipropetrovs'k	48.48	35	709930
Dodge City	United States of America	Queen of the Cowtowns					Populated place	7	0	Kansas	37.76	-100.02	5445298
Dodoma	Tanzania						Admin-0 capital alt	4	0	Dodoma	-6.18	35.75	160196
Doha	Qatar						Admin-0 capital	4	0	Ad Dawhah	25.29	51.53	290030
Donetsk	Ukraine						Admin-1 capital	4	1	Donets'k	48	37.83	709717
Dongguan	China						Populated place	1	1	Guangdong	23.05	113.74	1812545
Dongola	Sudan						Admin-1 region capital	3	0	Northern	19.17	30.48	363417
Dothan	United States of America						Populated place	7	0	Alabama	31.22	-85.39	4059102
Douala	Cameroon						Populated place	4	1	Littoral	4.06	9.71	2232593
Douglas	United States of America						Populated place	6	0	Arizona	31.36	-109.55	5293083
Douglas	United States of America						Populated place	7	0	Georgia	31.51	-82.85	4191916
Douglas	United States of America	Jackalope Capital of the World					Populated place	7	0	Wyoming	42.76	-105.38	5823516
Douglas	Isle of Man						Admin-0 region capital	7	0		54.15	-4.48	2651073
Dover	United States of America	The City that Means Well					Admin-1 capital	8	0	Delaware	39.16	-75.52	4142290
Dresden	Germany	Elbflorenz, Florence on the Elbe	Elbflorenz										
Dubai	United Arab Emirates	The Sudden City					Admin-1 capital	1	1	Dubay	25.23	55.28	292223
Dublin	Ireland	The Fair City, The city of a thousand and one colored doors, The Silicon Valley of Europe, Dirty Dublin, Anna Livia Plurabelle	The Fair City		Dubliner	Dubliners	Admin-0 capital	1	1	Dublin	53.33	-6.25	2964574
Dublin	United States of America						Populated place	7	0	Georgia	32.54	-82.92	4192205
Dubuque	United States of America	The Key City, City of Five Flags, Masterpiece on the Mississippi					Populated place	7	0	Iowa	42.5	-90.66	4854529
Duluth	United States of America	Zenith City, Twin Ports (with Superior, WI)	Zenith City				Populated place	6	0	Minnesota	46.78	-92.11	5024719
Dumas	United States of America						Populated place	7	0	Texas	35.86	-101.97	5520552
Dunedin	New Zealand	Dunners, The Edinburgh of the South	Dunners						0	Otago			
Durango	United States of America						Populated place	7	0	Colorado	37.28	-107.88	5420241
Durban	South Africa	Durbs	Durbs				Populated place	1	1	KwaZulu-Natal	-29.87	30.98	1007311
Durham	United States of America	Bull City, The Bull, City of Medicine	Bull City	part of "The Triangle" with Raleigh and Chapel Hill			Populated place	8	0	North Carolina	36	-78.92	4464368
Dushanbe	Tajikistan						Admin-0 capital	3	0	Tadzhikistan Territories	38.56	68.77	1221874
Eagle	United States of America						Populated place	8	0	Alaska	64.79	-141.2	-1
Eagle Pass	United States of America						Populated place	7	0	Texas	28.71	-100.49	5520677
Eau Claire	United States of America	Horseradish Capital of the World					Populated place	8	0	Wisconsin	44.81	-91.5	5251436
Edinburg	United States of America						Populated place	7	0	Texas	26.3	-98.16	4688275
Edinburgh	United Kingdom	Athens of the North, Auld Reekie	Auld Reekie		Edinbourgeois		Admin-1 capital	6	0	Edinburgh	55.95	-3.22	2650225
Edmonton	Canada				Edmontonian		Admin-1 capital	3	1	Alberta	53.55	-113.5	5946768
Eindhoven	Netherlands	Lichtstad, City of Lights, Lampegat	Lichtstad							Noord-Brabant			
El Centro	United States of America						Populated place	7	0	California	32.79	-115.56	5345609
El Dorado	United States of America						Populated place	7	0	Arkansas	33.21	-92.66	4109785
El Paso	United States of America	The Sun City, The Star City of Texas, El Chuco	Sun City				Populated place	4	1	Texas	31.78	-106.51	5520993
Elgin	United States of America						Populated place	8	0	Illinois	42.04	-88.29	4890864
Elkhart	United States of America	RV Capital of the World, City of Musical Doings					Populated place	8	0	Indiana	41.68	-85.97	4919987
Elko	United States of America						Populated place	4	0	Nevada	40.83	-115.76	5703670
Elmira	United States of America						Populated place	7	0	New York	42.09	-76.81	5116497
Ely	United States of America						Populated place	7	0	Minnesota	47.9	-91.83	5025627
Ely	United States of America						Populated place	6	0	Nevada	39.25	-114.89	5503694
Emmonak	United States of America						Populated place	8	0	Alaska	62.78	-164.52	-1
Emporia	United States of America						Populated place	7	0	Kansas	38.4	-96.18	4271086
Enid	United States of America						Populated place	8	0	Oklahoma	36.4	-97.88	4535961
Enterprise	United States of America						Populated place	7	0	Alabama	31.33	-85.84	4060791
Enugu	Nigeria						Admin-1 capital	3	0	Enugu	6.45	7.5	2343279
Erdenet	Mongolia						Populated place	3	0	Orhon	49.05	104.12	2031405
Erie	United States of America	Gem City	Gem City		Erieite		Populated place	7	0	Pennsylvania	42.13	-80.08	5188843
Escanaba	United States of America						Populated place	7	0	Michigan	45.75	-87.06	4992232
Eugene	United States of America	The Emerald City, Track Town, Track Town USA	Track Town		Eugenian	Eugenians	Populated place	6	0	Oregon	44.05	-123.1	5725846
Eureka	United States of America	Ekaville	Ekaville				Populated place	4	0	California	40.8	-124.15	5563397
Evanston	United States of America						Populated place	8	0	Illinois	42.05	-87.7	4891382
Evansville	United States of America						Populated place	6	0	Indiana	37.97	-87.56	4257227
Everett	United States of America						Populated place	7	0	Washington	47.96	-122.2	5793933
Fairbanks	United States of America	The Golden Heart City					Populated place	3	0	Alaska	64.84	-147.71	5861897
Faisalabad	Pakistan	Manchester of Pakistan					Populated place	6	1	Punjab	31.41	73.11	1179400
Falfurrias	United States of America						Populated place	7	0	Texas	27.23	-98.14	4690070
False Pass	United States of America						Populated place	7	0	Alaska	54.85	-163.42	-1
Fargo	United States of America	Gateway to the West					Populated place	4	0	North Dakota	46.88	-96.79	5059163
Faribault	United States of America						Populated place	8	0	Minnesota	44.29	-93.27	5026291
Faridabad	India						Populated place	4	1	Haryana	28.43	77.32	1271951
Farmington	United States of America						Populated place	8	0	New Mexico	36.75	-108.19	5467328
Fayetteville	United States of America						Populated place	7	0	Arkansas	36.06	-94.16	4110486
Fayetteville	United States of America	The All American City, FayetteNam					Populated place	7	0	North Carolina	35.06	-78.88	4466033
Feira de Santana	Brazil						Populated place	3	0	Bahia	-12.25	-38.97	3463478
Fez	Morocco	Spiritual Capital, Athens of Africa, The Pearl of the Arab world, The Florence of Africa					Admin-1 capital	3	1	Fès - Boulemane	34.05	-5	2548885
Flagstaff	United States of America	City of Seven Wonders, The Staff, Flag Town	City of Seven Wonders				Populated place	4	0	Arizona	35.2	-111.65	5294810
Flint	United States of America	Auto City	Auto City				Populated place	7	0	Michigan	43.01	-83.69	4992982
Florence	United States of America						Populated place	8	0	Alabama	34.8	-87.68	4062577
Florence	United States of America						Populated place	7	0	South Carolina	34.2	-79.76	4578737
Florence	Italy	City of Lillies			Florentine								
Florianopolis	Brazil						Admin-1 capital	3	1	Santa Catarina	-27.58	-48.52	3463237
Fond du Lac	United States of America						Populated place	7	0	Wisconsin	43.77	-88.45	5253352
Fontana	United States of America	Fontucky					Populated place	4	0	California	34.1	-117.46	5349755
Fort Collins	United States of America	Fort Fun, FoCo	Fort Fun				Populated place	7	0	Colorado	40.56	-105.06	5577147
Fort Good Hope	Canada						Populated place	3	0	Northwest Territories	66.27	-128.63	-1
Fort Lauderdale	United States of America						Populated place	7	0	Florida	26.14	-80.14	4155966
Fort Pierce	United States of America						Populated place	7	0	Florida	27.45	-80.33	4156018
Fort Severn	Canada						Populated place	3	0	Ontario	55.98	-87.65	-1
Fort Smith	United States of America						Populated place	7	0	Arkansas	35.39	-94.4	4111410
Fort Stockton	United States of America						Populated place	7	0	Texas	30.89	-102.88	5521746
Fort Wayne	United States of America						Populated place	7	0	Indiana	41.08	-85.13	4920423
Fort Yukon	United States of America						Populated place	6	0	Alaska	66.56	-145.27	-1
Fortaleza	Brazil						Admin-1 capital	1	1	Ceará	-3.75	-38.58	3399415
Foshan	China						Populated place	6	1	Guangdong	23.03	113.12	1811103
Frankfort	United States of America						Admin-1 capital	6	0	Kentucky	38.2	-84.87	4292188
Frankfurt	Germany	Mainhattan, Bankfort					Populated place	1	0	Hessen	50.1	8.68	2925533
Fredericksburg	United States of America	FredVegas					Populated place	7	0	Virginia	38.3	-77.46	4760059
Freeport	United States of America						Populated place	6	0	Texas	28.96	-95.36	4692355
Freetown	Sierra Leone						Admin-0 capital	3	1	Western	8.47	-13.23	2408770
Fresno	United States of America	The 'no, Fres-yes					Populated place	4	0	California	36.75	-119.77	5350937
Ft. Dodge	United States of America	Mineral City	Mineral City				Populated place	8	0	Iowa	42.51	-94.18	4857486
Ft. Myers	United States of America						Populated place	6	0	Florida	26.64	-81.86	4155995
Ft. Worth	United States of America	Cow Town, Panther City	Cow Town				Populated place	4	0	Texas	32.74	-97.34	4691930
Fukuoka	Japan	City of Yatai, City of Street Stalls					Admin-1 region capital	4	1	Fukuoka	33.6	130.41	1863967
Funafuti	Tuvalu						Admin-0 capital	6	0		-8.52	179.22	2110394
Funchal	Portugal						Admin-0 region capital	6	0	Madeira	32.65	-16.88	2267827
Fushun	China						Admin-1 capital	6	1	Liaoning	41.87	123.87	2037355
Fuxin	China						Populated place	6	1	Liaoning	42.01	121.66	2037346
Fuyang	China						Populated place	6	1	Zhejiang	30.05	119.95	1810846
Fuzhou	China						Admin-1 capital	1	1	Fujian	26.08	119.3	1810821
Gaborone	Botswana						Admin-0 capital	3	0	South-East	-24.65	25.91	933773
Gadsden	United States of America						Populated place	7	0	Alabama	34.01	-86.01	4063619
Gainesville	United States of America	Gator Country	Gator Country				Populated place	6	0	Florida	29.65	-82.33	4156404
Galena	United States of America						Populated place	6	0	Alaska	64.73	-156.93	-1
Galesburg	United States of America						Populated place	8	0	Illinois	40.95	-90.37	4893392
Gallup	United States of America						Populated place	7	0	New Mexico	35.52	-108.73	5468773
Galveston	United States of America						Populated place	6	0	Texas	29.3	-94.8	4692883
Gambell	United States of America						Populated place	6	0	Alaska	63.78	-171.73	-1
Garden City	United States of America						Populated place	8	0	Kansas	37.98	-100.86	5445439
Gary	United States of America	City of the Century					Populated place	7	0	Indiana	41.58	-87.33	4920607
Gaza	Palestine						Admin-0 region capital	4	0		31.53	34.45	281133
Gaziantep	Turkey						Admin-1 capital	6	1	Gaziantep	37.07	37.38	314830
Geneva	Switzerland	City of Calvin					Admin-1 capital	1	0	Genève	46.21	6.14	2660646
George Town	Cayman Islands						Admin-0 region capital	7	0		19.28	-81.33	2165718
Georgetown	Guyana	Garden City of the Caribbean					Admin-0 capital	3	0	Demerara-Mahaica	6.8	-58.17	3378644
Ghardaia	Algeria						Populated place	3	0	Ghardaïa	32.49	3.67	-1
Ghaziabad	India						Populated place	4	1	Uttar Pradesh	28.66	77.41	1271308
Gibraltar	Gibraltar						Admin-0 region capital	6	0	Gibraltar	36.13	-5.38	2411585
Gila Bend	United States of America						Populated place	7	0	Arizona	32.95	-112.72	5295860
Gillette	United States of America						Populated place	7	0	Wyoming	44.28	-105.51	5826027
Glasgow	United Kingdom	Shipbuilding capital of the world, Second City of the Empire, Dear Green Place, No Mean City			Glaswegian, Weegie		Populated place	3	1	Glasgow	55.87	-4.25	2648579
Glasgow	United States of America						Populated place	7	0	Montana	48.18	-106.64	5654320
Glendale	United States of America						Populated place	8	0	Arizona	33.58	-112.2	5295985
Glendive	United States of America						Populated place	8	0	Montana	47.11	-104.71	5654391
Glenwood Springs	United States of America						Populated place	8	0	Colorado	39.55	-107.32	5423092
Goiania	Brazil						Admin-1 capital	1	1	Goiás	-16.72	-49.3	3462377
Gold Coast	Australia	Goldie	Goldie				Populated place	3	0	Queensland	-28	153.43	-1
Goldsboro	United States of America						Populated place	7	0	North Carolina	35.39	-77.99	4468261
Gonder	Ethiopia						Admin-1 capital	3	0	Amhara	12.61	37.46	336014
Goodland	United States of America						Populated place	8	0	Kansas	39.35	-101.71	5445479
Goodnews Bay	United States of America						Populated place	8	0	Alaska	59.12	-161.59	-1
Göteborg	Sweden	Götet	Götet				Populated place						
Gotland	Sweden	Pearl of the Baltic					Populated place						
Goyang	South Korea						Populated place	7	1	Gyeonggi-do	37.65	126.84	1842485
Grand Canyon	United States of America						Populated place	7	0	Arizona	36.05	-112.14	5296409
Grand Forks	United States of America						Populated place	6	0	North Dakota	47.93	-97.03	5059429
Grand Island	United States of America						Populated place	8	0	Nebraska	40.92	-98.36	5069297
Grand Junction	United States of America	The Junc, GJ	GJ				Populated place	6	0	Colorado	39.09	-108.55	5423573
Grand Prairie	United States of America						Populated place	8	0	Texas	32.68	-97.02	4694482
Grand Rapids	United States of America	Furniture City	Furniture City				Populated place	7	0	Michigan	42.96	-85.67	4994358
Grand Turk	Turks and Caicos Islands						Admin-0 region capital	7	0		21.47	-71.14	3576994
Grants Pass	United States of America						Populated place	7	0	Oregon	42.44	-123.33	5729080
Great Falls	United States of America	GF	GF				Populated place	4	0	Montana	47.5	-111.3	5655240
Greeley	United States of America	Greality	Greality				Populated place	8	0	Colorado	40.42	-104.74	5577592
Green Bay	United States of America	Titletown USA, Toilet paper Capital of the World					Populated place	6	0	Wisconsin	44.53	-88	5254962
Green River	United States of America						Populated place	7	0	Wyoming	41.51	-109.46	5826559
Greeneville	United States of America						Populated place	7	0	North Carolina	35.61	-77.37	4469160
Greensboro	United States of America	Gate City, The Boro, Greensboring					Populated place	6	0	North Carolina	36.07	-79.8	4469146
Greenville	United States of America						Populated place	7	0	Mississippi	33.41	-91.06	4428475
Greenville	United States of America						Populated place	7	0	South Carolina	34.85	-82.39	4580543
Grootfontein	Namibia						Populated place	3	0	Otjozondjupa	-19.57	18.12	3357114
Guadalajara	Mexico	La Perla de Occidente, The Pearl of the West, La Perla Tapatía, Guanatos, The city of roses, The San Francisco of Latinamerica, The city of Fountains			Guadalajarense, guadalajareño -a, tapatío -a		Admin-1 capital	1	1	Jalisco	20.67	-103.33	4005539
Guangzhou	China	Canton	Canton				Admin-1 capital	1	1	Guangdong	23.14	113.33	1809858
Guatemala	Guatemala						Admin-0 capital	3	1	Guatemala	14.62	-90.53	3598132
Guayaquil	Ecuador						Admin-1 capital	1	1	Guayas	-2.22	-79.92	3657509
Guilin	China						Populated place	3	1	Guangxi	25.28	110.28	1809498
Guiyang	China						Admin-1 capital	1	1	Guizhou	26.58	106.72	1809461
Gujranwala	Pakistan						Populated place	4	1	Punjab	32.16	74.19	1177662
Gulfport	United States of America	Root Beer Capital of the World, Where Your Ship Comes In					Populated place	7	0	Mississippi	30.37	-89.09	4428667
Gulkana	United States of America						Populated place	8	0	Alaska	62.27	-145.38	-1
Gunnison	United States of America						Populated place	7	0	Colorado	38.54	-106.93	5424099
Guwahati	India						Populated place	4	1	Assam	26.16	91.77	1261186
Guymon	United States of America						Populated place	7	0	Oklahoma	36.69	-101.48	5515743
Gwalior	India						Populated place	4	1	Madhya Pradesh	26.23	78.18	1270583
Gwangju	South Korea						Admin-1 capital	4	1	Kwangju-gwangyoksi	35.17	126.91	1841811
Hagerstown	United States of America						Populated place	8	0	Maryland	39.64	-77.72	4357141
Haifa	Israel						Admin-1 capital	7	1	Haifa	32.82	34.98	294801
Halifax	Canada	Hali, Halifornia, The Birthplace of British Canada, The City of Firsts, The City of Trees, The Fax, Warden of The North	Hali		Haligonian, Halifaxian		Admin-1 capital	3	0	Nova Scotia	44.65	-63.6	6324729
Hamburg	Germany	Gateway to the world, Das Tor zur Welt			Hamburger		Admin-1 capital	1	1	Hamburg	53.55	10	2911298
Hamhung	North Korea						Admin-1 capital	6	1	Hamgyong-namdo	39.91	127.55	1877449
Hami	China						Populated place	3	0	Xinjiang Uygur	42.83	93.52	1529484
Hamilton	New Zealand	The Tron, Hamiltron, Fountain City					Populated place	3	0	Waikato	-37.79	175.28	
Hamilton	Bermuda						Admin-0 region capital	3	0		32.29	-64.78	3573197
Hampton	United States of America						Populated place	8	0	Virginia	37.03	-76.35	4762894
Hancock	United States of America						Populated place	7	0	Michigan	47.13	-88.58	4995201
Handan	China						Populated place	4	1	Hebei	36.58	114.48	1808963
Hangzhou	China	Cincy	Cincy				Admin-1 capital	1	1	Zhejiang	30.25	120.17	1808926
Harare	Zimbabwe						Admin-0 capital	3	1	Harare	-17.82	31.04	890299
Harbin	China						Admin-1 capital	1	1	Heilongjiang	45.75	126.65	2037013
Hardin	United States of America						Populated place	8	0	Montana	45.73	-107.61	5656170
Hargeysa	Somaliland						Admin-0 capital	3	0		9.56	44.07	57289
Harlingen	United States of America						Populated place	8	0	Texas	26.2	-97.69	4696233
Harrisburg	United States of America						Admin-1 capital	6	0	Pennsylvania	40.27	-76.88	5192726
Harrisonburg	United States of America						Populated place	8	0	Virginia	38.45	-78.87	4763231
Hartford	United States of America	Insurance City, Insurance Capital of the World, New England's Rising Star, Sad City, The Heartbeat, Tha 'beat	Insurance City				Admin-1 capital	6	1	Connecticut	41.77	-72.68	4835797
Hattiesburg	United States of America						Populated place	7	0	Mississippi	31.33	-89.29	4429295
Havana	Cuba						Admin-0 capital	1	1	Ciudad de la Habana	23.13	-82.36	3553478
Havre	United States of America						Populated place	6	0	Montana	48.55	-109.68	5656497
Hays	United States of America						Populated place	8	0	Kansas	38.88	-99.32	4272782
Hefei	China						Admin-1 capital	4	1	Anhui	31.85	117.28	1808722
Helena	United States of America	Queen City of the Rockies, The Capital City					Admin-1 capital	3	0	Montana	46.59	-112.04	5656882
Helsinki	Finland						Admin-0 capital	1	1	Southern Finland	60.18	24.93	658225
Hengyang	China						Populated place	4	1	Hunan	26.88	112.59	1808370
Hereford	United States of America						Populated place	8	0	Texas	34.82	-102.4	5523074
Heze	China						Populated place	6	1	Shandong	35.23	115.45	1808198
Hickory	United States of America						Populated place	7	0	North Carolina	35.73	-81.34	4470778
Hilo	United States of America						Populated place	4	0	Hawaii	19.7	-155.09	5855927
Hims	Syria						Populated place	6	1	Homs (Hims)	34.73	36.72	169577
Hiroshima	Japan	City of Peace, International City of Peace and Culture, City of Rivers, City of Water, Venice of Japan			Hiroshiman		Admin-1 region capital	1	1	Hiroshima	34.39	132.44	1862415
Hobart	Australia	Hobes	Hobes				Admin-1 capital	3	0	Tasmania	-42.85	147.3	2163355
